Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20222135,Vic,4,2022,Tuesday,19:47:00,Single,No,No,No,80,Pedestrian,Female,15,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Collector Road,No,No,0_to_16,Weekday,Night,1,No,Night
20224016,SA,3,2022,Saturday,21:05:00,Single,No,No,No,50,Passenger,Male,16,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Local Road,No,No,0_to_16,Weekend,Night,1,No,Night
20222079,Vic,3,2022,Wednesday,19:55:00,Multiple,No,No,No,100,Motorcycle rider,Male,18,Inner Regional Australia,Bendigo,Greater Bendigo,Arterial Road,No,No,17_to_25,Weekday,Night,1,No,Night
20223062,Qld,3,2022,Tuesday,14:00:00,Single,No,No,No,100,Driver,Male,16,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway,No,No,0_to_16,Weekday,Day,1,No,Day
20221145,NSW,3,2022,Wednesday,22:30:00,Single,No,No,No,70,Motorcycle rider,Male,18,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,No,No,17_to_25,Weekday,Night,1,No,Night
20225091,WA,2,2022,Sunday,01:44:00,Multiple,No,No,No,80,Other/-9,Male,13,-9,-9,-9,-9,No,No,0_to_16,Weekend,Night,1,No,Night
20223042,Qld,2,2022,Monday,01:00:00,Single,No,No,No,60,Passenger,Male,14,Outer Regional Australia,Cairns,Cairns,Collector Road,No,No,0_to_16,Weekend,Night,1,No,Night
20221065,NSW,2,2022,Saturday,21:10:00,Multiple,No,No,No,80,Passenger,Male,18,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Wollondilly,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20221189,NSW,2,2022,Saturday,07:30:00,Multiple,No,No,No,50,Motorcycle rider,Male,16,Major Cities of Australia,Sydney - City and Inner South,Sydney,Collector Road,No,No,0_to_16,Weekend,Day,1,No,Day
20222105,Vic,2,2022,Monday,21:20:00,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,Melbourne - North East,Murrindindi,Local Road,No,No,17_to_25,Weekday,Night,1,No,Night
20223079,Qld,2,2022,Friday,22:00:00,Single,No,No,No,50,Pedestrian,Female,12,Inner Regional Australia,Central Queensland,Gladstone,Local Road,No,No,0_to_16,Weekend,Night,1,No,Night
20221016,NSW,2,2022,Sunday,04:20:00,Single,No,No,No,80,Pedestrian,Male,18,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20221239,NSW,1,2022,Sunday,20:20:00,Multiple,No,No,No,100,Driver,Male,15,Inner Regional Australia,Mid North Coast,Mid-Coast,Local Road,No,No,0_to_16,Weekend,Night,1,No,Night
20222130,Vic,1,2022,Saturday,06:30:00,Single,No,No,No,60,Motorcycle rider,Male,17,Major Cities of Australia,Melbourne - North West,Hume,Collector Road,Yes,No,17_to_25,Weekend,Day,1,No,Day
20223124,Qld,1,2022,Tuesday,13:00:00,Multiple,No,Yes,No,80,Motorcycle rider,Male,14,Outer Regional Australia,Queensland - Outback,Mareeba,Sub-arterial Road,No,No,0_to_16,Weekday,Day,1,No,Day
20223065,Qld,1,2022,Friday,13:00:00,Single,No,No,No,60,Driver,Male,17,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Collector Road,No,No,17_to_25,Weekday,Day,1,No,Day
