Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20181138,NSW,10,2018,Sunday,07:05:00,Single,No,No,No,60,Driver,Male,18,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road,No,No,17_to_25,Weekend,Day,1,No,Day
20181179,NSW,10,2018,Friday,10:55:00,Single,No,No,No,100,Passenger,Female,13,Inner Regional Australia,Central West,Bathurst Regional,Sub-arterial Road,No,No,0_to_16,Weekday,Day,1,No,Day
20181151,NSW,9,2018,Thursday,16:35:00,Single,No,No,No,110,Driver,Male,18,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,17_to_25,Weekday,Day,1,No,Day
20181124,NSW,9,2018,Saturday,17:15:00,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,New England and North West,Armidale Regional,Local Road,No,No,17_to_25,Weekend,Day,1,No,Day
20181250,NSW,9,2018,Friday,19:42:00,Multiple,No,No,No,60,Driver,Female,17,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,No,No,17_to_25,Weekend,Night,2,No,Night
20181246,NSW,8,2018,Monday,16:00:00,Single,No,No,No,100,Driver,Male,14,Outer Regional Australia,Far West and Orana,Dubbo Regional,Local Road,No,No,0_to_16,Weekday,Day,1,No,Day
20181158,NSW,8,2018,Friday,16:50:00,Single,No,Yes,No,60,Pedestrian,Male,16,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road,No,No,0_to_16,Weekday,Day,1,No,Day
20181154,NSW,5,2018,Sunday,23:20:00,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20181047,NSW,4,2018,Thursday,01:15:00,Multiple,No,Yes,No,60,Driver,Male,17,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,Collector Road,No,No,17_to_25,Weekday,Night,1,No,Night
20181087,NSW,4,2018,Monday,18:45:00,Multiple,No,No,No,100,Passenger,Male,18,Outer Regional Australia,New England and North West,Narrabri,National or State Highway,No,Yes,17_to_25,Weekday,Night,1,No,Night
20181078,NSW,3,2018,Saturday,15:20:00,Single,No,No,No,80,Passenger,Male,17,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
